x1,y1,z1,vx1,vy1,vz1,ra1,dec1,dra1,ddec1,x2,y2,z2,vx2,vy2,vz2,ra2,dec2,dra2,ddec2
391.5666831525103,-76.19894250967971,-448.1843971016261,0.17303201757570735,-0.24114121404820113,0.19217152418572525,67.90934597004504,18.23170586691237,-2.663718933010274,-3.0488734496709258,391.56668,-76.199,-448.18436,0.173032,-0.24114123,0.19217156,67.90934597004953,18.231705866988733,-2.6637189177428784,-3.0488731747581843
381.64495179848427,-94.50327782001368,-398.7684306060422,-0.37770314592599913,-0.11933558415767705,0.7950172171916928,67.90936570912565,18.231799245612613,-2.596224161894451,-2.7127104122860013,381.80862,-94.74912,-398.55334,-0.38316745,-0.11768515,0.8001676,67.90936538349393,18.231799652047233,-2.5973375800515517,-2.7112472430378403
361.07182364115505,-97.98268063457091,-361.14613727425404,-0.6482003525593499,-0.04909161918492886,1.071513324975862,67.9094066395148,18.231870338538414,-2.4562709091235035,-2.4567764440425446,361.17166,-98.13844,-361.00403,-0.65151286,-0.047898386,1.0742732,67.90940644088431,18.231870607073112,-2.456950077394239,-2.455809716464711
338.3838985716164,-98.51657415939584,-325.86933240697914,-0.8849764158772566,0.01757422895283269,1.3037998926615075,67.90945177739219,18.231936999330312,-2.3019312828001115,-2.216798179639314,338.445,-98.615295,-325.77603,-0.8869699,0.018410014,1.3052393,67.90945165581422,18.231937175635462,-2.3023469886001275,-2.216163479551977
314.442465619946,-97.30034728621888,-291.9907160045166,-1.1139399153171163,0.08633926707759576,1.5203364129432777,67.90949940919757,18.232001018040258,-2.139064391972422,-1.9863314013912696,314.4921,-97.38337,-291.90958,-1.1154736,0.087094575,1.5212326,67.90949931045631,18.23200117136493,-2.139402013246705,-1.9857794314014667
289.609186158961,-94.84439992997936,-259.0966211556346,-1.3487190429013425,0.16118425081949417,1.7342224891531537,67.90954881539484,18.23206317634776,-1.97013051808817,-1.7625620486777862,289.64075,-94.89923,-259.04123,-1.3496195,0.16171706,1.734581,67.90954875260326,18.2320632810186,-1.970345218165391,-1.7621852329799108
264.04022899528337,-91.366719940465,-227.0129510830581,-1.5989035458753842,0.24560107426786346,1.953376692662099,67.90959968528146,18.232123803231683,-1.7961920339815196,-1.5443057896806673,264.0508,-91.38591,-226.99292,-1.5991628,0.2457971,1.9533998,67.90959966422663,18.232123841083403,-1.7962640256297833,-1.5441695232780612
237.7900588933615,-86.93180976953576,-195.70066004407064,-1.874123855543623,0.3435087668431926,2.1849756661418773,67.9096519104983,18.232182972473176,-1.61761944825416,-1.3312970071025214,237.80145,-86.95346,-195.67719,-1.874337,0.343741,2.1848612,67.90965188783005,18.232183016832497,-1.6176969567123725,-1.331137313323767
210.92604543788954,-81.64856193285019,-165.0567044691941,-2.1882217716560324,0.4619019526344802,2.436772993152467,67.90970535701146,18.232240878786577,-1.4348710574006092,-1.122834724280232,210.92606,-81.648605,-165.05667,-2.188228,0.46190476,2.4367774,67.9097053569907,18.232240878849552,-1.4348711286272322,-1.1228344975685587
183.4176286017836,-75.45894062425644,-135.14407792412922,-2.559943103690774,0.6102607852882791,2.719255345774797,67.90976008562133,18.23229740313554,-1.2477389700801607,-0.9193474688716273,183.42084,-75.46593,-135.13582,-2.5599256,0.6103404,2.7190795,67.9097600792373,18.23229741874294,-1.2477607986553996,-0.9192912821867028
155.24283142885642,-68.3434889764754,-105.96617764397307,-3.020530330070134,0.8064499440477749,3.046016785323438,67.90981614005146,18.232352539099473,-1.0560736831894995,-0.7208583513195447,155.24507,-68.34894,-105.95936,-3.0204606,0.80651355,3.0457928,67.90981613559491,18.23235255198576,-1.0560889211641689,-0.7208119606485173
126.30533067458445,-60.16584322763253,-77.63397936401184,-3.626234392255248,1.084177846042369,3.438629394784695,67.90987371193994,18.232406076972744,-0.859219936561799,-0.52812230859872,126.306206,-60.168343,-77.63062,-3.6261566,1.0842047,3.4384615,67.90987371019898,18.232406083315336,-0.8592258894524607,-0.5280994752637383
96.42115692290221,-50.66682445596261,-50.357059060252276,-4.4953204848778086,1.5196416425610744,3.932428815940764,67.90993316729966,18.23245762073023,-0.6559262375707634,-0.3425650276207638,96.422104,-50.670563,-50.351482,-4.495088,1.519679,3.9320087,67.90993316541562,18.23245763126815,-0.6559326794682717,-0.34252709109766954
65.20380949731143,-39.31234592638229,-24.55611298236703,-5.935512187480367,2.33269959133476,4.57874052120387,67.90999527508531,18.23250637540424,-0.4435633299136832,-0.16704838763514987,65.20389,-39.31343,-24.55419,-5.9353623,2.3327055,4.5785046,67.90999527492924,18.232506379038597,-0.4435638635336947,-0.16703530395923016
